Date,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,NIO
2020-07-02,77.44999694824219,12.100000381469727,16.299999237060547,37.29999923706055,43.75,4.265804767608643,18.739999771118164,133.10000610351562,30.600000381469727,9.380000114440918
2020-07-03,77.69999694824219,12.100000381469727,16.0,37.45000076293945,43.650001525878906,4.2754130363464355,18.940000534057617,133.10000610351562,30.700000762939453,
2020-07-06,77.69999694824219,12.239999771118164,16.299999237060547,39.29999923706055,44.45000076293945,4.28502082824707,19.34000015258789,136.10000610351562,31.700000762939453,11.510000228881836
2020-07-07,76.05000305175781,12.039999961853027,15.380000114440918,38.650001525878906,43.900001525878906,4.256197929382324,19.020000457763672,134.0,30.649999618530273,13.220000267028809
2020-07-08,75.8499984741211,12.020000457763672,15.460000038146973,37.0,43.75,4.2465901374816895,19.200000762939453,132.8000030517578,30.600000381469727,12.880000114440918
2020-07-09,74.8499984741211,11.84000015258789,15.180000305175781,37.099998474121094,43.5,4.198552131652832,19.739999771118164,131.10000610351562,30.200000762939453,14.569999694824219
2020-07-10,73.9000015258789,11.779999732971191,14.819999694824219,36.400001525878906,43.150001525878906,4.217766761779785,19.15999984741211,129.1999969482422,30.049999237060547,14.979999542236328
2020-07-13,73.94999694824219,11.600000381469727,14.800000190734863,37.25,43.0,4.2369818687438965,19.399999618530273,129.0,29.799999237060547,13.84000015258789
2020-07-14,72.94999694824219,11.479999542236328,14.720000267028809,36.849998474121094,43.0,4.198552131652832,18.979999542236328,129.10000610351562,29.950000762939453,14.09000015258789
2020-07-15,72.94999694824219,11.359999656677246,14.800000190734863,37.20000076293945,42.79999923706055,4.20815896987915,19.020000457763672,129.39999389648438,29.649999618530273,13.520000457763672
2020-07-16,72.75,11.380000114440918,14.859999656677246,37.20000076293945,42.650001525878906,4.20815896987915,18.68000030517578,130.1999969482422,29.549999237060547,12.9399995803833
2020-07-17,72.5,11.319999694824219,14.819999694824219,36.95000076293945,42.650001525878906,4.2369818687438965,18.520000457763672,129.5,29.399999618530273,11.09000015258789
