0909.HK,明源雲
0910.HK,中國三迪
0914.HK,海螺水泥
0916.HK,龍源電力
0921.HK,海信家電
0925.HK,北京建設
0929.HK,國際精密
0931.HK,中國天然氣
0934.HK,中石化冠德
0938.HK,民生國際
0939.HK,建設銀行
0941.HK,中國移動
0943.HK,中證國際
0945.HK,宏利金融—Ｓ
0950.HK,李氏大藥廠
0951.HK,超威動力
0952.HK,中國通海金融
0956.HK,新天綠色能源
0960.HK,龍湖集團
0966.HK,中國太平
0968.HK,信義光能
0970.HK,耀萊集團
0973.HK,L'OCCITANE
0978.HK,招商局置地
0981.HK,中芯國際
0982.HK,華金國際資本
0984.HK,永旺
0985.HK,中譽集團
0989.HK,廣澤國際發展
0990.HK,榮暉國際
0991.HK,大唐發電
0992.HK,聯想集團
0993.HK,華融金控
0995.HK,安徽皖通高速公路
0998.HK,中信銀行
0999.HK,I.T
1003.HK,歡喜傳媒
1004.HK,中國智慧能源
1005.HK,MATRIX HOLDINGS
1009.HK,國際娛樂
1020.HK,賽伯樂國際控股
1024.HK,快手－Ｗ
1029.HK,鐵貨
1030.HK,新城發展
1031.HK,金利豐金融
1033.HK,中石化油服
1036.HK,萬科海外
1038.HK,長江基建集團
1039.HK,暢由聯盟
1044.HK,恒安國際
1045.HK,亞太衛星
1050.HK,嘉利國際
1051.HK,國際資源
1052.HK,越秀交通基建
1055.HK,中國南方航空股份
1060.HK,阿里影業
1061.HK,億勝生物科技
1065.HK,天津創業環保股份
1066.HK,威高股份
1068.HK,雨潤食品
1070.HK,ＴＣＬ電子
1071.HK,華電國際電力股份
1072.HK,東方電氣
1076.HK,博華太平洋
1082.HK,香港教育國際
1083.HK,港華燃氣
1084.HK,綠新親水膠體
1085.HK,亨鑫科技
1086.HK,好孩子國際
1088.HK,中國神華
1090.HK,大明國際
1091.HK,中信大錳
1093.HK,石藥集團
1098.HK,路勁
1099.HK,國藥控股
1104.HK,亞太資源
1105.HK,星島
1107.HK,當代置業
1108.HK,洛陽玻璃股份
1109.HK,華潤置地
1111.HK,創興銀行
1112.HK,H&H國際控股
1113.HK,長實集團
1114.HK,BRILLIANCE CHI
1115.HK,西藏水資源
1117.HK,現代牧業
1119.HK,創夢天地
1121.HK,寶峰時尚
1122.HK,慶鈴汽車股份
1125.HK,麗豐控股
1126.HK,德林國際
1128.HK,永利澳門
1133.HK,哈爾濱電氣
1137.HK,香港電視
1138.HK,中遠海能
1140.HK,東英金融
1141.HK,民銀資本
1153.HK,佳源服務
1157.HK,中聯重科
1158.HK,開元酒店
1159.HK,星光文化
